  0.004161, BNO0_UnitAccX, BNO0_UnitAccY, BNO0_UnitAccZ, BNO0_RawAccMag, BNO0_GyrX, BNO0_GyrY, BNO0_GyrZ, BNO0_MagX, BNO0_MagY, BNO0_MagZ, BNO1_UnitAccX, BNO1_UnitAccY, BNO1_UnitAccZ, BNO1_RawAccMag, BNO1_GyrX, BNO1_GyrY, BNO1_GyrZ, BNO1_MagX, BNO1_MagY, BNO1_MagZ, BNO2_UnitAccX, BNO2_UnitAccY, BNO2_UnitAccZ, BNO2_RawAccMag, BNO2_GyrX, BNO2_GyrY, BNO2_GyrZ, BNO2_MagX, BNO2_MagY, BNO2_MagZ, BNO3_UnitAccX, BNO3_UnitAccY, BNO3_UnitAccZ, BNO3_RawAccMag, BNO3_GyrX, BNO3_GyrY, BNO3_GyrZ, BNO3_MagX, BNO3_MagY, BNO3_MagZ, MPU0_UnitAccX, MPU0_UnitAccY, MPU0_UnitAccZ, MPU0_RawAccMag, MPU0_GyrX, MPU0_GyrY, MPU0_GyrZ, MPU1_UnitAccX, MPU1_UnitAccY, MPU1_UnitAccZ, MPU1_RawAccMag, MPU1_GyrX, MPU1_GyrY, MPU1_GyrZ
 30.144045, 0.573        , -0.593       , -0.566       ,        2502.13, -0.448   , 0.112    , -0.112   , -0.444   ,     0.705, 0.553    , 0.700        , -0.515       , -0.495       ,        2479.71, -0.112   , 0.000    , -0.112   , -0.405   , 0.611    , 0.680    , 0.031        , -0.862       , -0.505       ,        2503.48, -0.112   , 0.112    , 0.112    , -0.229   ,     0.638, -0.736   , -0.193       , -0.028       , -0.981       ,        2481.45, -0.112   , -0.112   , 0.000    , -0.357   , -0.106   ,     0.928, 0.228        , 0.280        , 0.932        ,         10.943, 5.756    , 0.321    , -1.542   , 0.460        , 0.376        , 0.804        ,          9.917, -5.420   , -4.718   , -0.901
 30.166094, 0.573        , -0.593       , -0.566       ,        2502.13, -0.224   , -0.112   , 0.000    , -0.417   ,     0.718, 0.557    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.224    , 0.112    , -0.224   , -0.508   , 0.597    , 0.620    , 0.035        , -0.862       , -0.506       ,        2517.49, -0.224   , 0.112    , 0.000    , -0.221   ,     0.615, -0.757   , -0.189       , -0.028       , -0.982       ,        2479.54, 0.000    , -0.112   , -0.112   , -0.347   , -0.107   ,     0.932, 0.228        , 0.280        , 0.932        ,         10.922, 5.740    , 0.305    , -1.649   , 0.460        , 0.376        , 0.805        ,          9.928, -5.466   , -4.748   , -0.855
 30.187271, 0.572        , -0.593       , -0.567       ,        2518.88, 0.000    , -0.224   , -0.224   , -0.368   ,     0.727, 0.579    , 0.700        , -0.517       , -0.493       ,        2491.16, 0.000    , 0.000    , -0.112   , -0.486   , 0.600    , 0.635    , 0.035        , -0.863       , -0.503       ,        2512.44, -0.336   , 0.000    , 0.000    , -0.225   ,     0.628, -0.745   , -0.192       , -0.028       , -0.981       ,        2492.24, 0.000    , 0.000    , 0.000    , -0.341   , -0.105   ,     0.934, 0.226        , 0.281        , 0.933        ,         10.956, 5.542    , 0.092    , -1.511   , 0.460        , 0.375        , 0.805        ,          9.916, -5.618   , -4.840   , -0.656
 30.208059, 0.574        , -0.594       , -0.564       ,        2512.63, 0.112    , 0.000    , 0.000    , -0.402   ,     0.718, 0.569    , 0.702        , -0.514       , -0.494       ,        2486.01, -0.112   , -0.112   , 0.000    , -0.471   , 0.598    , 0.649    , 0.031        , -0.862       , -0.505       ,        2503.48, -0.112   , 0.000    , 0.000    , -0.251   ,     0.629, -0.736   , -0.189       , -0.028       , -0.982       ,        2479.54, 0.000    , 0.000    , 0.000    , -0.343   , -0.112   ,     0.933, 0.228        , 0.280        , 0.933        ,         10.953, 5.450    , 0.168    , -1.573   , 0.458        , 0.376        , 0.806        ,          9.921, -5.679   , -4.748   , -0.611
 30.231412, 0.572        , -0.591       , -0.569       ,        2507.22, 0.224    , 0.112    , 0.224    , -0.406   ,     0.722, 0.561    , 0.701        , -0.512       , -0.496       ,        2473.87, -0.112   , -0.224   , 0.112    , -0.462   , 0.608    , 0.645    , 0.031        , -0.863       , -0.504       ,        2511.25, 0.224    , 0.224    , 0.112    , -0.240   ,     0.618, -0.748   , -0.193       , -0.028       , -0.981       ,        2481.45, 0.000    , 0.000    , 0.000    , -0.333   , -0.115   ,     0.936, 0.229        , 0.281        , 0.932        ,         10.937, 5.527    , 0.382    , -1.832   , 0.459        , 0.375        , 0.806        ,          9.931, -5.771   , -4.641   , -0.779
 30.254360, 0.575        , -0.591       , -0.565       ,        2506.71, -0.112   , 0.224    , 0.224    , -0.381   ,     0.757, 0.531    , 0.700        , -0.515       , -0.495       ,        2479.71, 0.112    , 0.224    , 0.112    , -0.428   , 0.599    , 0.677    , 0.035        , -0.863       , -0.503       ,        2512.44, 0.000    , 0.112    , 0.224    , -0.244   ,     0.632, -0.736   , -0.192       , -0.028       , -0.981       ,        2492.24, 0.000    , 0.000    , 0.000    , -0.349   , -0.110   ,     0.930, 0.225        , 0.280        , 0.933        ,         10.939, 5.527    , 0.366    , -1.679   , 0.459        , 0.373        , 0.807        ,          9.927, -5.725   , -4.656   , -0.687
 30.275611, 0.570        , -0.594       , -0.568       ,        2513.14, 0.112    , -0.112   , 0.224    , -0.459   ,     0.694, 0.554    , 0.700        , -0.515       , -0.495       ,        2479.71, -0.112   , -0.112   , 0.112    , -0.472   , 0.604    , 0.642    , 0.031        , -0.862       , -0.505       ,        2503.48, -0.336   , 0.000    , 0.224    , -0.231   ,     0.614, -0.755   , -0.192       , -0.028       , -0.981       ,        2492.24, 0.000    , 0.000    , 0.000    , -0.348   , -0.121   ,     0.930, 0.227        , 0.280        , 0.933        ,         10.930, 5.496    , 0.168    , -1.466   , 0.459        , 0.373        , 0.806        ,          9.939, -5.618   , -4.855   , -0.656
 30.297467, 0.571        , -0.595       , -0.565       ,        2508.07, -0.224   , -0.112   , 0.224    , -0.405   ,     0.712, 0.573    , 0.703        , -0.515       , -0.491       ,        2481.79, 0.112    , -0.112   , 0.112    , -0.464   , 0.614    , 0.638    , 0.035        , -0.862       , -0.506       ,        2517.49, 0.000    , 0.000    , 0.224    , -0.241   ,     0.641, -0.729   , -0.188       , -0.028       , -0.982       ,        2490.34, 0.000    , 0.000    , 0.000    , -0.354   , -0.102   ,     0.930, 0.226        , 0.281        , 0.933        ,         10.956, 5.267    , -0.076   , -1.298   , 0.459        , 0.374        , 0.806        ,          9.914, -5.771   , -4.977   , -0.412
 30.319652, 0.570        , -0.598       , -0.564       ,        2514.04, 0.000    , -0.671   , 0.224    , -0.422   ,     0.690, 0.588    , 0.702        , -0.514       , -0.494       ,        2486.01, 0.000    , -0.112   , 0.112    , -0.451   , 0.688    , 0.568    , 0.027        , -0.862       , -0.506       ,        2502.33, -0.224   , 0.112    , 0.224    , -0.240   ,     0.626, -0.742   , -0.197       , -0.028       , -0.980       ,        2483.40, 0.000    , 0.000    , 0.000    , -0.357   , -0.099   ,     0.929, 0.227        , 0.278        , 0.933        ,         10.939, 5.481    , 0.214    , -1.618   , 0.458        , 0.371        , 0.807        ,          9.925, -5.527   , -4.656   , -0.870
 30.344250, 0.570        , -0.598       , -0.564       ,        2514.04, 0.112    , 0.224    , 0.112    , -0.435   ,     0.717, 0.544    , 0.700        , -0.515       , -0.495       ,        2479.71, -0.336   , 0.224    , -0.112   , -0.477   , 0.629    , 0.614    , 0.027        , -0.865       , -0.501       ,        2505.94, 0.224    , 0.336    , -0.224   , -0.261   ,     0.623, -0.738   , -0.192       , -0.032       , -0.981       ,        2492.54, 0.000    , 0.000    , 0.000    , -0.360   , -0.102   ,     0.927, 0.228        , 0.280        , 0.932        ,         10.948, 5.878    , 0.321    , -1.634   , 0.461        , 0.375        , 0.804        ,          9.945, -5.267   , -4.794   , -1.221
