0.003625,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.049574,0.480,-0.219,-0.850,2470.15,-0.671,0.000,-0.112,-0.526,0.073,0.847,0.687,-0.089,-0.721,2488.37,-0.112,0.224,-0.112,-0.599,0.244,0.762,-0.063,-0.433,-0.899,2496.28,-0.671,0.112,-0.112,-0.106,-0.011,-0.994,0.319,0.084,-0.944,2497.49,-0.224,-0.224,0.000,-0.956,0.146,0.256,0.398,0.196,0.896,10.970,5.649,0.473,-1.878,0.706,0.242,0.666,10.108,-5.542,-4.687,-1.206,none
0.052297,0.481,-0.211,-0.851,2465.85,0.336,0.224,0.224,-0.540,0.093,0.837,0.689,-0.093,-0.719,2482.08,-0.560,0.224,0.336,-0.566,0.296,0.769,-0.063,-0.446,-0.893,2513.84,1.343,0.336,-0.336,-0.118,-0.011,-0.993,0.320,0.080,-0.944,2487.31,-0.112,-0.112,-0.224,-0.973,0.094,0.210,0.400,0.197,0.895,10.936,5.802,0.504,-1.863,0.705,0.245,0.666,10.151,-5.405,-4.748,-1.435,none
0.059342,0.482,-0.215,-0.849,2459.48,0.000,0.336,0.224,-0.518,0.106,0.849,0.686,-0.097,-0.721,2489.51,-0.112,0.448,0.560,-0.618,0.227,0.752,-0.063,-0.439,-0.896,2504.10,1.007,0.448,-0.448,-0.118,-0.011,-0.993,0.320,0.076,-0.944,2486.53,0.000,-0.224,-0.336,-0.968,0.201,0.149,0.399,0.198,0.895,10.937,5.786,0.168,-1.679,0.704,0.245,0.666,10.127,-5.237,-4.855,-1.420,none
0.093416,0.482,-0.215,-0.849,2459.48,-0.112,0.448,-0.224,-0.541,0.106,0.834,0.690,-0.097,-0.717,2489.93,-0.448,0.336,-0.112,-0.637,0.289,0.714,-0.056,-0.439,-0.897,2503.87,0.112,0.560,-0.448,-0.098,-0.039,-0.994,0.322,0.080,-0.943,2500.58,-0.895,-0.224,-0.560,-0.947,0.159,0.278,0.398,0.201,0.895,10.947,5.710,0.382,-1.679,0.705,0.248,0.665,10.160,-5.450,-4.656,-0.977,none
0.106224,0.486,-0.211,-0.848,2461.33,0.224,0.000,-0.224,-0.507,0.059,0.860,0.689,-0.093,-0.719,2495.44,0.112,-0.112,0.336,-0.602,0.227,0.766,-0.059,-0.443,-0.895,2507.95,0.112,0.112,0.112,-0.128,-0.053,-0.990,0.320,0.080,-0.944,2487.31,-0.448,0.112,-0.336,-0.974,0.181,0.135,0.400,0.199,0.894,10.925,5.695,0.473,-1.710,0.703,0.245,0.668,10.160,-5.634,-4.519,-0.992,none
0.129227,0.482,-0.212,-0.850,2456.50,0.112,0.000,0.112,-0.525,0.093,0.846,0.688,-0.097,-0.719,2482.32,0.000,0.224,0.112,-0.624,0.276,0.731,-0.059,-0.443,-0.895,2507.95,0.671,0.224,0.112,-0.109,-0.034,-0.993,0.319,0.084,-0.944,2497.49,0.112,0.000,-0.112,-0.975,0.169,0.143,0.401,0.199,0.894,10.922,5.695,0.702,-1.924,0.705,0.246,0.665,10.144,-5.710,-4.275,-1.023,none
0.152551,0.483,-0.208,-0.851,2454.40,0.336,0.336,0.336,-0.496,0.092,0.863,0.690,-0.097,-0.717,2489.93,0.224,0.224,0.448,-0.591,0.325,0.738,-0.059,-0.443,-0.895,2507.95,0.895,0.000,0.000,-0.096,-0.022,-0.995,0.322,0.084,-0.943,2500.37,0.671,0.000,0.000,-0.966,0.131,0.223,0.398,0.198,0.896,10.953,5.618,0.489,-1.802,0.706,0.245,0.665,10.148,-5.710,-4.504,-0.840,none
0.175892,0.482,-0.212,-0.850,2456.50,0.224,0.112,0.336,-0.544,0.065,0.837,0.688,-0.097,-0.719,2482.32,0.336,-0.112,0.224,-0.581,0.292,0.760,-0.059,-0.443,-0.895,2507.95,0.783,0.112,-0.112,-0.107,-0.054,-0.993,0.321,0.081,-0.944,2478.82,0.112,0.000,-0.112,-0.976,0.156,0.152,0.399,0.197,0.895,10.969,5.588,0.290,-1.527,0.706,0.246,0.664,10.140,-5.618,-4.672,-0.580,none
0.196899,0.481,-0.211,-0.851,2465.85,0.000,-0.224,0.112,-0.502,0.093,0.860,0.690,-0.097,-0.717,2489.93,0.448,-0.224,0.000,-0.601,0.282,0.748,-0.063,-0.439,-0.896,2504.10,-0.560,-0.448,0.336,-0.107,-0.011,-0.994,0.320,0.080,-0.944,2487.31,-0.336,-0.224,-0.224,-0.975,0.141,0.172,0.400,0.197,0.895,10.958,5.618,0.107,-1.435,0.705,0.244,0.666,10.139,-5.496,-4.794,-0.580,none
0.219376,0.482,-0.212,-0.850,2456.50,-0.112,-0.224,-0.112,-0.508,0.085,0.857,0.690,-0.097,-0.717,2489.93,-0.224,0.112,-0.448,-0.603,0.303,0.738,-0.059,-0.443,-0.895,2507.95,-0.336,-0.224,0.112,-0.066,-0.066,-0.996,0.320,0.084,-0.944,2489.00,-0.336,0.000,0.000,-0.970,0.142,0.195,0.400,0.200,0.894,10.960,5.557,0.473,-1.649,0.704,0.246,0.666,10.131,-5.847,-4.443,-0.275,none
