0.002755,IMU Server Connected
0.018555,0.187,0.317,-0.970,-30.998,-5.148,-12.757,0.006,0.135,0.326,0.434,0.288,-0.820,-17.569,-8.729,-20.479,-0.048,-0.128,0.275,-0.172,-0.887,-0.603,-2.686,1.567,-4.700,0.176,0.223,0.083,-0.248,0.380,-0.801,-47.336,3.917,3.693,0.121,-0.190,0.099,1.156,0.238,0.184,9.542,-12.794,-13.679,1.173,0.092,-0.468,-3.603,-21.374,-18.153
0.061354,0.179,0.137,-0.903,-41.181,-5.148,-28.760,0.022,0.128,0.325,0.461,0.151,-0.874,-43.084,-11.079,-42.860,-0.041,-0.141,0.269,-0.218,-0.883,-0.494,-48.231,-1.679,0.783,0.184,0.210,0.113,-0.248,0.380,-0.801,34.579,-0.783,-16.450,0.006,-0.212,-0.296,1.259,0.242,0.196,8.305,-7.832,-4.229,1.274,0.084,-0.535,-2.076,-15.756,-9.008
0.062077,-0.063,0.950,-0.579,-20.031,10.519,14.883,0.094,-0.120,0.079,-0.004,1.073,-0.452,-20.926,7.945,15.891,0.135,-0.338,0.016,-0.574,0.429,-0.818,-13.317,6.043,7.498,0.237,-0.149,-0.034,0.006,1.106,-0.242,-7.050,-5.595,5.819,-0.019,-0.245,-0.226,1.262,0.244,0.202,6.153,-1.191,1.649,1.271,0.076,-0.556,1.038,-8.962,-3.847
0.076973,-0.082,1.169,-0.583,-10.183,2.462,1.790,0.091,-0.141,0.086,-0.043,1.199,-0.394,1.343,0.224,-2.910,0.138,-0.325,0.014,-0.547,0.530,-0.822,-1.007,-5.931,0.560,0.237,-0.153,-0.018,-0.002,1.094,-0.234,5.036,-3.805,-8.169,-0.024,-0.235,-0.259,1.187,0.228,0.165,3.267,10.489,10.504,1.176,0.070,-0.529,7.573,5.084,3.298
0.099907,-0.086,1.048,-0.524,9.848,-1.007,-13.653,0.096,-0.151,0.086,-0.066,1.050,-0.362,13.317,-0.560,-10.855,0.144,-0.334,0.016,-0.558,0.472,-0.795,8.057,-12.310,-10.407,0.238,-0.151,-0.006,-0.022,1.036,-0.219,10.519,-3.357,-14.548,-0.006,-0.240,-0.224,1.084,0.199,0.128,3.542,16.122,14.122,1.071,0.052,-0.492,10.290,10.702,6.275
0.135637,-0.106,0.942,-0.454,13.541,0.448,-17.681,0.086,-0.104,0.089,-0.082,0.975,-0.358,15.891,-0.448,-13.988,0.147,-0.348,0.018,-0.562,0.409,-0.721,9.288,-13.876,-13.205,0.243,-0.154,-0.039,-0.041,0.962,-0.219,14.772,-2.910,-16.898,-0.017,-0.244,-0.236,1.003,0.184,0.138,5.359,18.031,14.168,0.982,0.040,-0.451,12.718,12.061,6.626
0.234061,-0.110,0.845,-0.439,15.443,4.476,-20.479,0.089,-0.110,0.093,-0.090,0.878,-0.351,15.891,0.671,-15.107,0.143,-0.333,0.034,-0.558,0.358,-0.666,9.512,-12.310,-14.883,0.236,-0.141,-0.029,-0.053,0.899,-0.223,15.331,-1.567,-17.122,-0.006,-0.236,-0.240,0.936,0.180,0.158,5.344,17.573,11.740,0.913,0.047,-0.407,15.588,7.969,3.450
0.234833,-0.074,0.732,-0.501,13.093,8.952,-21.262,0.091,-0.105,0.093,-0.090,0.796,-0.351,18.017,2.798,-10.855,0.153,-0.336,0.023,-0.554,0.327,-0.635,9.176,-9.064,-14.660,0.239,-0.130,-0.021,-0.053,0.868,-0.226,13.653,-0.448,-14.772,-0.010,-0.239,-0.231,0.872,0.163,0.161,6.412,15.771,8.198,0.869,0.033,-0.373,15.771,9.573,-1.924
0.235394,-0.114,0.673,-0.403,9.512,10.967,-16.003,0.099,-0.101,0.099,-0.101,0.737,-0.347,12.981,3.245,-8.281,0.141,-0.336,0.027,-0.550,0.264,-0.622,6.602,-4.029,-11.079,0.239,-0.138,-0.031,-0.057,0.813,-0.226,12.422,0.895,-8.729,0.001,-0.246,-0.207,0.830,0.162,0.168,8.092,8.733,1.664,0.858,0.057,-0.295,12.611,2.550,-6.565
0.235943,-0.086,0.625,-0.462,6.379,13.541,-12.086,0.096,-0.100,0.099,-0.082,0.690,-0.378,7.274,4.588,-6.043,0.147,-0.346,0.036,-0.558,0.245,-0.610,3.469,-0.336,-6.379,0.245,-0.142,-0.012,-0.053,0.801,-0.226,6.826,1.343,-3.581,-0.002,-0.241,-0.218,0.815,0.177,0.169,8.672,0.214,-3.542,0.831,0.081,-0.273,1.664,-4.824,-6.473
0.296251,-0.074,0.613,-0.470,-0.336,9.288,-3.917,0.096,-0.100,0.103,-0.097,0.687,-0.347,-4.141,2.686,3.693,0.146,-0.319,0.032,-0.558,0.264,-0.623,-0.560,4.588,0.224,0.248,-0.138,-0.019,-0.049,0.821,-0.234,-2.126,1.007,2.910,-0.005,-0.233,-0.236,0.870,0.198,0.200,7.511,-6.565,-10.351,0.888,0.076,-0.323,-6.855,-11.206,-11.069
0.296861,-0.086,0.700,-0.446,-7.610,5.707,7.162,0.096,-0.111,0.103,-0.070,0.757,-0.362,-8.841,3.805,11.414,0.144,-0.344,0.024,-0.543,0.308,-0.673,-2.238,8.281,6.491,0.247,-0.144,-0.012,-0.041,0.860,-0.234,-5.707,1.455,9.848,-0.004,-0.239,-0.209,0.943,0.193,0.164,5.450,-9.374,-13.038,0.951,0.069,-0.388,-10.962,-13.649,-11.817
