0.132967,IMU Server Connected
0.133894,0.089,0.798,-0.569,-0.671,0.671,-1.007,0.105,-0.234,0.071,-0.254,0.922,0.167,-0.783,-1.567,-1.007,0.217,-0.289,-0.169,0.636,-0.060,-0.726,-1.790,-1.007,-0.671,-0.198,-0.110,0.378,0.065,1.001,-0.008,-1.343,-0.895,-0.783,0.086,-0.379,-0.126,0.724,-0.663,0.407,4.870,0.626,-1.725,0.875,-0.566,0.177,-6.305,-4.366,-1.008
0.134434,0.089,0.794,-0.561,-1.231,0.448,-1.343,0.110,-0.229,0.049,-0.254,0.953,0.171,-2.126,-1.902,0.895,0.217,-0.286,-0.165,0.636,-0.064,-0.737,-0.560,-0.336,-0.224,-0.191,-0.095,0.357,0.061,1.001,-0.001,-1.119,-0.671,-0.112,0.079,-0.379,-0.118,0.719,-0.664,0.404,5.237,0.122,-1.405,0.869,-0.565,0.178,-5.588,-4.962,-0.702
0.135225,0.182,0.872,-0.440,-2.238,1.231,-0.224,0.082,-0.256,0.046,-0.129,0.946,0.182,0.448,1.119,0.336,0.191,-0.313,-0.176,0.652,-0.044,-0.722,0.895,0.112,-0.448,-0.202,-0.088,0.366,0.081,0.993,0.019,-0.224,0.336,0.112,0.075,-0.371,-0.126,0.725,-0.655,0.406,6.015,-0.672,-1.252,0.876,-0.559,0.168,-4.992,-5.603,-0.519
0.136086,0.190,0.841,-0.456,-0.448,-0.112,0.224,0.064,-0.281,0.072,-0.125,0.957,0.171,0.336,-0.112,0.448,0.195,-0.311,-0.154,0.648,-0.052,-0.726,-0.336,0.000,0.560,-0.202,-0.088,0.378,0.085,0.993,0.015,0.224,-0.224,0.000,0.067,-0.382,-0.126,0.723,-0.658,0.405,5.542,0.031,-1.237,0.874,-0.562,0.176,-5.496,-4.855,-0.718
0.193529,0.194,0.848,-0.463,-0.671,0.783,0.448,0.069,-0.273,0.054,-0.125,0.961,0.171,0.224,0.671,0.000,0.181,-0.308,-0.142,0.648,-0.052,-0.726,-0.112,0.336,-0.448,-0.203,-0.099,0.357,0.085,0.993,0.015,0.224,0.112,0.224,0.079,-0.367,-0.126,0.726,-0.657,0.404,5.832,0.168,-0.977,0.876,-0.560,0.172,-5.084,-4.779,-0.641
0.288636,0.190,0.845,-0.460,-0.336,-0.112,0.448,0.074,-0.277,0.054,-0.121,0.949,0.171,0.000,-0.783,0.336,0.195,-0.322,-0.141,0.644,-0.056,-0.737,0.448,0.112,0.000,-0.202,-0.102,0.369,0.085,0.993,0.019,0.112,-0.336,0.112,0.079,-0.371,-0.118,0.722,-0.659,0.407,5.450,0.641,-1.603,0.873,-0.563,0.175,-5.710,-4.473,-1.130
0.289331,0.190,0.837,-0.456,0.224,0.671,-0.560,0.067,-0.279,0.064,-0.125,0.949,0.174,0.783,1.902,0.671,0.191,-0.318,-0.145,0.644,-0.052,-0.730,0.224,0.112,-0.112,-0.206,-0.096,0.349,0.081,0.993,0.015,0.336,0.448,0.000,0.067,-0.367,-0.114,0.723,-0.662,0.406,6.229,-0.809,-1.282,0.871,-0.568,0.175,-4.885,-5.588,-0.641
0.289892,0.198,0.844,-0.471,-0.448,1.679,-0.671,0.075,-0.265,0.052,-0.121,0.949,0.163,0.112,1.902,1.119,0.184,-0.311,-0.162,0.644,-0.060,-0.733,0.224,0.112,-0.671,-0.191,-0.099,0.370,0.089,0.997,0.007,0.112,0.895,0.224,0.071,-0.379,-0.139,0.725,-0.655,0.396,5.786,-0.305,-1.344,0.873,-0.563,0.166,-5.405,-5.328,-0.656
0.324207,0.190,0.840,-0.452,-0.448,0.336,-0.224,0.067,-0.291,0.066,-0.125,0.946,0.174,0.336,0.671,0.448,0.188,-0.307,-0.159,0.648,-0.048,-0.730,0.112,-0.112,0.112,-0.199,-0.106,0.366,0.081,0.989,0.015,0.000,0.000,0.000,0.067,-0.371,-0.131,0.717,-0.658,0.403,6.031,-0.351,-1.542,0.865,-0.561,0.177,-5.191,-5.435,-0.992
0.434297,0.194,0.845,-0.463,-0.448,1.119,0.000,0.067,-0.267,0.045,-0.121,0.953,0.167,0.112,1.343,1.455,0.188,-0.322,-0.149,0.648,-0.060,-0.733,1.007,0.224,-0.224,-0.203,-0.107,0.345,0.085,0.993,0.015,0.671,0.448,0.336,0.067,-0.382,-0.130,0.729,-0.661,0.404,6.031,-0.534,-1.542,0.879,-0.565,0.171,-5.115,-5.618,-0.947
